68,146,226,72,150,248,80,80,96,153,251,386
78,162,248,80,164,252,84,86,86,163,249,636
70,144,244,72,154,252,80,80,96,145,247,380
72,150,240,76,152,246,80,80,96,153,245,509
74,150,236,76,156,240,80,80,96,151,247,506
74,148,248,76,154,250,80,80,96,154,252,500
64,144,238,76,148,246,80,80,96,153,249,407
66,152,226,68,154,230,80,80,96,154,242,440
62,146,228,64,152,236,80,80,96,151,234,380
64,152,222,72,156,240,80,80,96,155,252,396
72,142,242,76,154,246,80,80,96,152,244,474
64,146,220,70,156,236,80,80,96,149,243,366
74,154,230,76,156,236,80,80,96,155,251,518
62,148,242,74,154,248,80,80,96,153,247,433
68,150,222,76,154,228,80,80,96,153,252,398
66,142,226,76,156,230,80,80,96,152,249,378
70,152,246,76,154,250,80,80,96,154,247,502
70,142,240,72,152,244,80,80,96,152,249,454
60,144,236,64,156,244,80,80,96,149,237,348
64,146,220,70,150,234,80,80,96,151,251,350
68,142,250,70,150,252,80,80,96,147,251,375
62,144,234,72,146,250,80,80,96,146,250,354
68,154,228,74,156,234,80,80,96,155,241,490
74,152,228,76,154,248,80,80,96,153,243,478
64,144,220,76,148,224,80,80,96,155,230,360
60,152,234,64,154,248,80,80,96,154,243,353
72,140,248,76,146,252,80,80,96,145,249,372
66,150,246,76,154,248,80,80,96,155,251,472
68,140,240,76,142,250,80,80,96,141,243,335
72,142,240,74,148,252,80,80,96,148,242,406
62,144,246,68,150,250,80,80,96,150,248,364
64,150,242,76,156,244,80,80,96,152,250,466
60,140,230,74,146,248,80,80,96,154,245,327
60,140,246,68,156,250,80,80,96,156,248,342
70,144,220,76,152,248,80,80,96,148,236,358
72,144,248,74,148,252,80,80,96,148,251,412
62,140,230,70,150,246,80,80,96,148,235,356
64,148,248,68,152,250,80,80,96,151,252,378
70,150,220,76,154,238,80,80,96,153,241,430
70,150,240,72,152,244,80,80,96,156,250,484
64,146,242,76,156,248,80,80,96,151,243,435
62,146,222,70,152,252,80,80,96,152,224,324
64,146,228,68,156,234,80,80,96,149,242,416
68,144,228,74,152,244,80,80,96,145,240,390
70,152,248,74,154,250,80,80,96,155,250,484
66,142,226,68,154,246,80,80,96,150,230,372
60,148,220,72,152,250,80,80,96,151,252,302
74,150,242,76,152,248,80,80,96,153,248,502
60,140,244,70,146,246,80,80,96,152,252,352
72,146,232,74,148,240,80,80,96,151,233,458
72,152,226,74,156,234,80,80,96,154,244,484
72,146,220,76,154,224,80,80,96,148,252,360
68,140,226,74,154,236,80,80,96,156,232,392
68,150,238,72,156,240,80,80,96,151,252,474
72,142,228,74,150,234,80,80,96,156,249,420
72,140,226,74,150,252,80,80,96,150,231,352
62,140,246,66,142,252,80,80,96,154,248,306
64,152,234,70,154,246,80,80,96,154,236,444
64,142,244,70,152,250,80,80,96,144,250,360
64,154,222,66,156,234,80,80,96,155,226,410
66,146,242,72,152,246,80,80,96,150,247,439
62,144,226,70,156,228,80,80,96,156,241,382
66,148,228,70,150,230,80,80,96,154,250,424
66,142,222,70,144,236,80,80,96,143,225,358
66,148,246,68,154,252,80,80,96,154,251,380
